peakN	Chr	Start	End	Strand	Length	Arm_P14_Day30_H3K27ac_Rep1_S5	Arm_P14_Day30_H3K27ac_Rep2_S6	Arm_P14_Day30_H3K27ac_Rep3_S7	Arm_P14_Day30_H3K27ac_Rep4_S8
peak3	chr1	4784755	4786614	.	1860	127.03	125.38	133.74	106.31
peak4	chr1	4806714	4808938	.	2225	87.69	92.54	91.15	107.1
peak5	chr1	4856924	4859178	.	2255	108.18	94.53	122.67	123.89
peak6	chr1	5082337	5084154	.	1818	105.72	83.59	82.63	90.32
peak7	chr1	5085482	5087019	.	1538	29.5	36.82	38.33	47.16
peak8	chr1	5145206	5147149	.	1944	25.41	27.86	34.08	26.38
peak10	chr1	6213409	6216051	.	2643	264.72	247.77	281.97	302.13
peak11	chr1	6406343	6407662	.	1320	46.71	36.82	45.15	57.55
peak12	chr1	6452764	6455050	.	2287	72.94	50.75	78.37	63.14
peak13	chr1	6466300	6468630	.	2331	54.91	54.73	45.15	43.96
peak14	chr1	7087697	7090823	.	3127	413.87	401.01	423.38	465.19
peak15	chr1	7094937	7096845	.	1909	73.76	64.68	54.52	96.71
peak16	chr1	7112756	7114342	.	1587	28.68	33.83	23	25.58
peak17	chr1	7146106	7148117	.	2012	109	114.43	96.26	101.51
peak21	chr1	7396246	7398989	.	2744	130.31	129.36	113.3	135.08
peak23	chr1	7454370	7456583	.	2214	104.9	101.5	115	97.51
peak24	chr1	7477427	7479281	.	1855	36.06	22.89	26.41	27.98
peak25	chr1	7707812	7709880	.	2069	20.49	23.88	23.85	25.58
peak27	chr1	9235330	9238167	.	2838	40.16	26.87	29.82	40.76
peak28	chr1	9544664	9547906	.	3243	75.4	65.67	51.96	64.74
peak29	chr1	9700271	9701940	.	1670	75.4	69.65	78.37	83.13
peak31	chr1	9742759	9743670	.	912	36.06	41.79	32.37	31.17
peak32	chr1	9744148	9745914	.	1767	58.19	76.62	87.74	72.74
peak33	chr1	9746388	9748949	.	2562	138.5	138.31	138.86	103.91
peak34	chr1	9822612	9824279	.	1668	22.95	31.84	16.19	19.98
peak35	chr1	9847949	9851280	.	3332	22.95	19.9	17.04	27.18
peak39	chr1	9882293	9884109	.	1817	52.45	52.74	43.45	48.76
peak40	chr1	9942352	9944824	.	2473	89.33	72.64	78.37	80.73
peak42	chr1	10037152	10039219	.	2068	280.29	299.52	262.38	262.17
peak43	chr1	10129856	10132026	.	2171	41.8	35.82	46	42.36
peak44	chr1	10216795	10218636	.	1842	56.55	55.72	62.19	76.73
peak45	chr1	10220201	10221650	.	1450	39.34	33.83	32.37	32.77
peak46	chr1	10230853	10234203	.	3351	186.04	173.14	167.82	225.4
peak47	chr1	10256509	10258343	.	1835	34.42	18.91	27.26	21.58
peak50	chr1	11228979	11230683	.	1705	12.29	17.91	11.93	4.8
peak51	chr1	12864152	12865937	.	1786	15.57	22.89	14.48	17.58
peak53	chr1	13154481	13156395	.	1915	60.65	51.74	41.74	56.75
peak54	chr1	13161102	13164174	.	3073	163.09	180.11	148.23	171.05
peak55	chr1	13170948	13173427	.	2480	46.71	33.83	49.41	39.96
peak56	chr1	13231132	13233157	.	2026	43.44	49.75	37.48	51.15
peak57	chr1	13244854	13246861	.	2008	11.47	12.94	13.63	14.39
peak58	chr1	13265317	13269838	.	4522	518.78	550.27	487.27	537.12
peak59	chr1	13279785	13280872	.	1088	6.56	10.95	5.11	8.79
peak60	chr1	13287530	13289794	.	2265	130.31	149.26	131.19	118.29
peak61	chr1	13292633	13295866	.	3234	370.44	390.07	333.08	392.45
peak62	chr1	13300997	13302941	.	1945	162.27	162.2	144.82	145.47
peak63	chr1	13311483	13312943	.	1461	22.13	24.88	28.11	24.78
peak64	chr1	13335600	13337335	.	1736	105.72	105.48	90.3	99.11
peak65	chr1	13351584	13352812	.	1229	20.49	21.89	17.89	22.38
peak66	chr1	13371727	13373280	.	1554	113.1	108.46	94.56	111.1
peak67	chr1	13373822	13375410	.	1589	90.15	92.54	80.93	104.71
peak68	chr1	13381511	13383905	.	2395	76.22	74.63	69	75.93
peak69	chr1	13425642	13427826	.	2185	63.93	90.55	57.93	61.55
peak71	chr1	13513162	13514643	.	1482	34.42	35.82	28.96	31.97
peak72	chr1	13520684	13522786	.	2103	59.83	65.67	80.08	72.74
peak73	chr1	13558801	13560796	.	1996	238.49	237.82	253.01	253.37
peak74	chr1	13572913	13576127	.	3215	29.5	29.85	33.22	29.57
peak75	chr1	13587786	13589289	.	1504	53.27	82.59	79.22	82.33
peak76	chr1	13589508	13590528	.	1021	27.05	29.85	22.15	35.17
peak77	chr1	13592698	13594372	.	1675	204.89	168.17	185.71	195.03
peak78	chr1	13638802	13640934	.	2133	190.96	228.87	203.6	206.22
peak79	chr1	13651128	13652717	.	1590	33.6	20.9	34.93	39.96
peak80	chr1	13658480	13661138	.	2659	287.66	317.43	261.53	280.55
peak81	chr1	14756489	14758795	.	2307	49.17	22.89	64.74	40.76
peak82	chr1	14761388	14763424	.	2037	44.26	23.88	57.08	43.16
peak83	chr1	14923608	14925527	.	1920	27.05	14.93	31.52	11.19
peak84	chr1	15543026	15545003	.	1978	3.28	0	2.56	0
peak85	chr1	15798527	15799756	.	1230	27.05	30.85	23	22.38
peak86	chr1	15804826	15807065	.	2240	228.65	222.9	234.27	209.41
peak87	chr1	15816772	15818902	.	2131	52.45	37.81	36.63	39.96
peak88	chr1	15849481	15851429	.	1949	43.44	32.84	51.96	31.97
peak89	chr1	16102821	16105311	.	2491	160.63	129.36	168.67	150.27
peak90	chr1	16176635	16179116	.	2482	78.68	81.6	80.08	82.33
peak91	chr1	16227104	16228773	.	1670	24.59	30.85	19.59	27.98
peak92	chr1	16606335	16607308	.	974	22.13	15.92	19.59	15.19
peak93	chr1	16616544	16620057	.	3514	94.25	93.54	70.71	90.32
peak94	chr1	16641394	16643997	.	2604	175.38	134.33	154.19	164.65
peak95	chr1	16655773	16657831	.	2059	245.87	254.74	275.16	258.97
peak96	chr1	16664678	16666495	.	1818	81.96	76.62	86.89	86.32
peak97	chr1	16687085	16689778	.	2694	278.65	289.57	278.56	314.12
peak99	chr1	16746319	16749054	.	2736	140.96	117.42	127.78	142.27
peak100	chr1	20818548	20820848	.	2301	81.14	93.54	99.67	98.31
peak101	chr1	20824846	20826233	.	1388	14.75	14.93	14.48	24.78
peak102	chr1	20890181	20891736	.	1556	19.67	19.9	28.96	19.18
peak103	chr1	20912018	20913566	.	1549	22.13	21.89	8.52	12.79
peak105	chr1	20950843	20952445	.	1603	14.75	10.95	17.04	9.59
peak107	chr1	21028777	21030012	.	1236	28.68	26.87	35.78	26.38
peak108	chr1	21051661	21053113	.	1453	12.29	6.97	12.78	7.99
peak109	chr1	21077805	21080060	.	2256	32.78	31.84	28.96	35.17
peak110	chr1	21218037	21219755	.	1719	103.26	93.54	100.52	107.1
peak111	chr1	21270514	21272251	.	1738	5.74	17.91	13.63	4.8
peak112	chr1	21276965	21278121	.	1157	0	3.98	5.11	1.6
peak113	chr1	21289954	21292058	.	2105	4.92	3.98	2.56	2.4
peak114	chr1	21303876	21305379	.	1504	3.28	1.99	5.96	3.2
peak115	chr1	21316304	21317922	.	1619	3.28	3.98	5.11	3.2
peak116	chr1	21323247	21326102	.	2856	10.65	4.98	2.56	4
peak117	chr1	21331578	21334800	.	3223	26.23	29.85	37.48	32.77
peak118	chr1	21343222	21344672	.	1451	1.64	3.98	5.11	0.8
peak120	chr1	21780539	21781806	.	1268	9.02	8.96	7.67	8.79
peak121	chr1	21829223	21830851	.	1629	11.47	24.88	19.59	19.98
peak123	chr1	21870153	21871696	.	1544	23.77	19.9	23	31.97
peak125	chr1	21959908	21961478	.	1571	27.05	29.85	32.37	31.17
peak126	chr1	21962459	21964489	.	2031	48.35	59.7	44.3	43.16
peak127	chr1	23271535	23273598	.	2064	16.39	10.95	17.04	6.39
peak128	chr1	23320395	23322175	.	1781	5.74	9.95	3.41	9.59
peak129	chr1	23399205	23401268	.	2064	43.44	25.87	48.56	27.98
peak130	chr1	23840779	23842735	.	1957	27.05	19.9	22.15	31.97
peak131	chr1	23882421	23885024	.	2604	71.3	66.67	57.08	70.34
peak132	chr1	23914890	23918411	.	3522	504.02	509.48	452.35	473.98
peak133	chr1	23920835	23925094	.	4260	188.5	176.13	160.15	156.66
peak134	chr1	23934334	23936474	.	2141	22.95	29.85	29.82	19.98
peak136	chr1	24004673	24006104	.	1432	67.2	77.62	62.19	67.14
peak137	chr1	24107420	24110630	.	3211	27.86	20.9	29.82	23.98
peak138	chr1	24677431	24680098	.	2668	161.45	149.26	145.67	166.25
peak139	chr1	24755679	24756869	.	1191	28.68	14.93	19.59	17.58
