peakN	Chr	Start	End	Strand	Length	Arm_P14_Day30_H3K4me3_Rep1_S5	Arm_P14_Day30_H3K4me3_Rep2_S6	Arm_P14_Day30_H3K4me3_Rep3_S7	Arm_P14_Day30_H3K4me3_Rep4_S8
peak1	chr1	4490387	4492047	.	1661	110.9	105.02	109.25	113.59
peak2	chr1	4492485	4493231	.	747	89.92	82.16	83.72	88.94
peak3	chr1	4493663	4494360	.	698	73.93	63.52	63.3	63.22
peak4	chr1	4495224	4497458	.	2235	375.65	386.22	360.42	339.69
peak5	chr1	4747216	4749516	.	2301	141.87	145.68	163.36	156.45
peak7	chr1	4784614	4786700	.	2087	463.57	494.63	484.99	421.13
peak8	chr1	4791002	4792927	.	1926	63.94	85.54	69.43	70.72
peak9	chr1	4806661	4809391	.	2731	529.51	514.11	519.7	488.64
peak10	chr1	4856818	4860936	.	4119	869.19	913.88	855.62	829.41
peak11	chr1	5018402	5021520	.	3119	256.76	279.5	287.93	258.25
peak13	chr1	5082339	5084755	.	2417	468.56	514.96	511.53	471.5
peak14	chr1	6212659	6216918	.	4260	1025.05	1022.29	987.33	917.28
peak15	chr1	6223664	6224687	.	1024	40.96	55.05	61.26	53.58
peak16	chr1	6381807	6384304	.	2498	251.77	271.88	248.11	271.11
peak17	chr1	6406080	6407787	.	1708	244.77	246.47	243	246.46
peak18	chr1	6440091	6442940	.	2850	217.8	226.99	215.44	186.46
peak19	chr1	6452559	6455091	.	2533	195.82	241.39	200.12	214.32
peak20	chr1	6466334	6468039	.	1706	150.86	151.61	152.13	152.17
peak21	chr1	7087789	7091236	.	3448	1156.92	1130.71	1184.39	1079.09
peak22	chr1	7095463	7096995	.	1533	78.93	89.78	64.32	84.66
peak23	chr1	7099299	7100649	.	1351	41.96	60.13	55.14	49.29
peak25	chr1	7139993	7141806	.	1814	47.96	55.05	49.01	69.65
peak26	chr1	7146049	7147975	.	1927	156.85	166.85	179.7	156.45
peak28	chr1	7205615	7207251	.	1637	126.88	130.43	130.69	121.09
peak29	chr1	7396601	7398994	.	2394	409.62	378.6	403.31	433.99
peak30	chr1	7454387	7456363	.	1977	142.87	136.36	122.52	121.09
peak31	chr1	7477468	7479593	.	2126	91.91	109.26	123.54	111.44
peak32	chr1	7707978	7709818	.	1841	46.96	39.81	39.82	39.65
peak34	chr1	9235408	9238202	.	2795	94.91	79.62	94.96	76.08
peak35	chr1	9537601	9539646	.	2046	62.94	65.22	46.97	72.87
peak36	chr1	9544617	9548084	.	3468	695.35	695.36	691.24	659.02
peak37	chr1	9698892	9702063	.	3172	500.53	487.85	541.14	473.64
peak38	chr1	9711841	9713814	.	1974	62.94	60.13	57.18	49.29
peak39	chr1	9742008	9748964	.	6957	1614.5	1646.51	1632.62	1464.86
peak40	chr1	9772342	9773539	.	1198	48.95	49.97	50.03	55.72
peak41	chr1	9796733	9799695	.	2963	480.55	512.42	477.84	464
peak42	chr1	9805624	9808336	.	2713	54.95	47.43	65.35	66.44
peak43	chr1	9822456	9824440	.	1985	178.83	191.42	182.76	169.31
peak44	chr1	9847605	9851411	.	3807	437.59	413.32	453.34	395.41
peak46	chr1	9862544	9864343	.	1800	49.95	46.58	41.86	52.51
peak47	chr1	9881631	9884087	.	2457	119.89	127.89	111.29	106.09
peak49	chr1	9942153	9944763	.	2611	573.47	541.21	586.07	482.21
peak50	chr1	9965817	9969522	.	3706	693.35	632.69	659.58	642.95
peak51	chr1	9980978	9983256	.	2279	43.96	61.83	41.86	54.65
peak54	chr1	10036544	10040959	.	4416	762.29	763.97	758.62	677.24
peak57	chr1	10219250	10221752	.	2503	91.91	111.8	85.77	106.09
peak58	chr1	10230739	10234349	.	3611	705.34	753.8	726.97	699.74
peak60	chr1	10324929	10326194	.	1266	53.95	59.29	60.24	50.36
peak63	chr1	11228886	11230450	.	1565	23.98	29.64	23.48	22.5
peak64	chr1	11622564	11624838	.	2275	75.93	68.6	76.58	69.65
peak66	chr1	12863829	12865938	.	2110	90.92	78.77	77.6	78.23
peak67	chr1	12874899	12876731	.	1833	68.94	83	89.85	81.44
peak68	chr1	12990200	12993304	.	3105	236.78	261.71	305.29	226.1
peak70	chr1	13051687	13053061	.	1375	138.87	156.69	136.82	174.67
peak71	chr1	13103198	13105389	.	2192	142.87	167.7	172.55	160.74
peak72	chr1	13124669	13129086	.	4418	436.59	446.35	449.25	427.56
peak73	chr1	13154390	13156297	.	1908	78.93	86.39	99.04	69.65
peak74	chr1	13161128	13163577	.	2450	169.84	169.39	176.64	197.17
peak75	chr1	13170600	13172168	.	1569	42.96	58.44	50.03	57.87
peak76	chr1	13231126	13233852	.	2727	92.91	110.11	104.14	115.73
peak77	chr1	13244793	13246157	.	1365	16.98	27.95	27.57	28.93
peak78	chr1	13266100	13268885	.	2786	418.61	415.02	375.74	425.42
peak79	chr1	13286899	13289732	.	2834	189.82	210.9	237.9	210.03
peak80	chr1	13292705	13295794	.	3090	784.27	730.09	727.99	669.74
peak81	chr1	13300817	13302807	.	1991	413.61	441.27	400.24	411.49
peak82	chr1	13308112	13309689	.	1578	95.91	108.41	102.1	100.73
peak83	chr1	13311366	13312690	.	1325	67.94	60.98	78.62	83.58
peak84	chr1	13318975	13321246	.	2272	68.94	77.92	47.99	65.37
peak86	chr1	13335461	13337145	.	1685	223.79	229.53	228.71	213.25
peak88	chr1	13351591	13353721	.	2131	75.93	99.1	74.54	85.73
peak89	chr1	13363595	13364996	.	1402	48.95	51.67	42.88	50.36
peak90	chr1	13371624	13373186	.	1563	351.67	393.84	366.55	347.19
peak91	chr1	13373862	13375569	.	1708	318.7	339.63	316.52	345.05
peak92	chr1	13381121	13384023	.	2903	549.49	586.95	546.25	525.08
peak93	chr1	13388176	13389505	.	1330	74.93	71.99	60.24	57.87
peak94	chr1	13425474	13427917	.	2444	469.56	433.65	450.27	439.35
peak95	chr1	13480682	13482270	.	1589	30.97	55.05	35.74	45.01
peak96	chr1	13492786	13496051	.	3266	254.76	215.98	220.54	223.96
peak97	chr1	13513057	13514639	.	1583	254.76	236.3	218.5	278.61
peak98	chr1	13520691	13522795	.	2105	150.86	181.25	168.47	203.6
peak101	chr1	13558738	13560640	.	1903	496.54	512.42	517.66	500.43
peak102	chr1	13573706	13576315	.	2610	23.98	46.58	34.71	48.22
peak103	chr1	13585625	13590810	.	5186	995.07	925.74	911.78	940.85
peak104	chr1	13592855	13594300	.	1446	211.8	221.91	224.63	205.74
peak105	chr1	13599588	13601543	.	1956	77.93	71.15	63.3	92.16
peak106	chr1	13638802	13640413	.	1612	123.88	143.14	147.03	140.38
peak107	chr1	13650836	13652175	.	1340	56.95	65.22	55.14	69.65
peak108	chr1	13658644	13661157	.	2514	679.37	656.4	666.73	646.17
peak110	chr1	13788572	13789807	.	1236	60.94	71.15	54.11	75.01
peak111	chr1	14306891	14311084	.	4194	65.94	63.52	80.66	98.59
peak112	chr1	14504796	14507554	.	2759	113.89	99.1	133.75	116.8
peak113	chr1	14754666	14758686	.	4021	478.55	450.59	527.87	472.57
peak114	chr1	14761939	14763528	.	1590	66.94	66.91	99.04	76.08
