peakN	Chr	Start	End	Strand	Length	Naive_P14_Day30_H3K4me3_Rep1_S1	Naive_P14_Day30_H3K4me3_Rep2_S2	Naive_P14_Day30_H3K4me3_Rep3_S3	Naive_P14_Day30_H3K4me3_Rep4_S4	Naive_P14_Day32_H3K4me3_Rep1_S9	Naive_P14_Day32_H3K4me3_Rep2_S10	Naive_P14_Day32_H3K4me3_Rep3_S11	Naive_P14_Day32_H3K4me3_Rep4_S12	Arm_P14_Day30_H3K4me3_Rep1_S5
peak1	chr1	4490387	4492047	.	1661	81.2	89.83	88.73	78.36	55.3	47.55	50.04	54.2	110.9
peak2	chr1	4492485	4493231	.	747	47.89	54.58	42.03	34.21	29.38	30.81	37.53	36.64	89.92
peak3	chr1	4493663	4494360	.	698	34.35	38.66	43.59	35.32	20.74	16.74	18.76	16.03	73.93
peak4	chr1	4495224	4497458	.	2235	194.67	208.09	214.81	184.31	163.32	148.67	152.79	144.29	375.65
peak5	chr1	4747216	4749516	.	2301	55.18	36.39	37.36	37.52	23.33	15.4	16.08	21.38	141.87
peak7	chr1	4784614	4786700	.	2087	528.85	455.99	460.76	463.54	712.05	650.93	685.33	627.53	463.57
peak8	chr1	4791002	4792927	.	1926	55.18	60.27	54.48	45.25	34.57	19.42	33.95	13.74	63.94
peak9	chr1	4806661	4809391	.	2731	522.6	512.84	510.57	533.07	638.6	618.11	595.98	593.94	529.51
peak10	chr1	4856818	4860936	.	4119	869.27	799.4	781.42	792.43	1015.36	989.79	1029.34	1019.93	869.19
peak11	chr1	5018402	5021520	.	3119	63.5	84.15	54.48	55.18	61.35	56.25	58.97	64.13	256.76
peak13	chr1	5082339	5084755	.	2417	419.54	444.61	481	426.01	533.17	537.75	517.35	522.18	468.56
peak14	chr1	6212659	6216918	.	4260	1080.6	1037.05	1021.14	1079.38	1254.73	1221.49	1262.55	1276.44	1025.05
peak15	chr1	6223664	6224687	.	1024	56.22	59.13	52.93	57.39	30.24	38.17	42.89	38.17	40.96
peak16	chr1	6381807	6384304	.	2498	203	224.01	233.49	222.94	138.26	125.23	122.41	123.67	251.77
peak17	chr1	6406080	6407787	.	1708	184.26	172.84	191.46	187.62	152.95	161.39	159.94	159.56	244.77
