peakN	Chr	Start	End	Strand	Length	Naive_P14_Day30_H3K27ac_Rep1_S1	Naive_P14_Day30_H3K27ac_Rep2_S2	Naive_P14_Day30_H3K27ac_Rep3_S3	Naive_P14_Day30_H3K27ac_Rep4_S4	Naive_P14_Day32_H3K27ac_Rep1_S9	Naive_P14_Day32_H3K27ac_Rep2_S10	Naive_P14_Day32_H3K27ac_Rep3_S11	Naive_P14_Day32_H3K27ac_Rep4_S12
peak3	chr1	4784755	4786614	.	1860	135.35	149.54	137.61	147	152.83	140.9	166.36	123.88
peak4	chr1	4806714	4808938	.	2225	95.64	83.89	110.58	80.41	105.72	113.14	109.29	88.49
peak5	chr1	4856924	4859178	.	2255	114.28	120.36	131.05	125.07	93.08	96.07	103.22	98.32
peak6	chr1	5082337	5084154	.	1818	89.15	96.04	107.3	86.9	97.67	103.54	106.86	100.29
peak7	chr1	5085482	5087019	.	1538	29.99	25.53	17.2	25.99	12.64	28.82	19.43	24.58
peak8	chr1	5145206	5147149	.	1944	33.23	29.18	24.57	19.49	29.88	16.01	21.86	29.5
peak10	chr1	6213409	6216051	.	2643	320.14	285.7	294.87	317.56	302.21	312.75	297.5	299.87
peak11	chr1	6406343	6407662	.	1320	23.5	25.53	42.59	43.86	35.62	20.28	27.93	25.56
peak12	chr1	6452764	6455050	.	2287	80.24	72.94	93.38	59.29	78.14	65.11	64.36	71.77
peak13	chr1	6466300	6468630	.	2331	25.94	24.31	24.57	37.36	34.47	24.55	37.64	30.48
peak14	chr1	7087697	7090823	.	3127	504.93	496.02	418.55	465.38	491.81	518.76	456.57	510.28
peak15	chr1	7094937	7096845	.	1909	124.81	147.11	143.34	166.5	164.32	179.32	191.86	195.66
peak16	chr1	7112756	7114342	.	1587	35.66	35.26	59.79	38.17	37.92	40.56	47.36	37.36
peak17	chr1	7146106	7148117	.	2012	55.11	49.85	61.43	35.74	48.26	48.03	44.93	41.29
peak21	chr1	7396246	7398989	.	2744	91.58	76.59	97.47	105.58	68.94	91.8	106.86	78.66
peak23	chr1	7454370	7456583	.	2214	35.66	21.88	23.75	27.61	27.58	24.55	36.43	33.43
peak24	chr1	7477427	7479281	.	1855	7.29	12.16	8.19	4.87	9.19	10.67	13.36	9.83
peak25	chr1	7707812	7709880	.	2069	29.18	26.75	20.48	22.74	41.37	40.56	38.86	35.39
peak27	chr1	9235330	9238167	.	2838	68.08	66.87	92.56	76.34	86.18	113.14	89.86	109.13
peak28	chr1	9544664	9547906	.	3243	64.84	64.43	83.55	89.34	82.73	62.98	77.71	61.94
peak29	chr1	9700271	9701940	.	1670	51.87	42.55	45.87	44.67	34.47	39.49	25.5	32.45
peak31	chr1	9742759	9743670	.	912	29.18	40.12	33.58	30.86	35.62	20.28	30.36	22.61
peak32	chr1	9744148	9745914	.	1767	71.32	71.73	73.72	63.35	57.45	49.1	64.36	52.11
peak33	chr1	9746388	9748949	.	2562	149.13	175.07	144.16	142.94	160.87	168.65	148.14	125.85
peak34	chr1	9822612	9824279	.	1668	38.9	43.77	65.53	44.67	59.75	56.57	38.86	57.03
peak35	chr1	9847949	9851280	.	3332	94.02	117.93	111.39	104.77	109.16	102.47	99.57	105.2
peak39	chr1	9882293	9884109	.	1817	55.11	63.22	79.45	55.23	64.35	71.52	64.36	74.72
peak40	chr1	9942352	9944824	.	2473	81.86	94.83	84.37	86.9	70.09	66.18	70.43	65.87
peak42	chr1	10037152	10039219	.	2068	269.08	279.62	286.68	274.51	258.54	242.3	239.22	243.83
peak43	chr1	10129856	10132026	.	2171	15.4	23.1	16.38	12.99	17.24	14.94	9.71	9.83
peak44	chr1	10216795	10218636	.	1842	22.69	20.67	23.75	16.24	19.53	19.21	23.07	24.58
peak45	chr1	10220201	10221650	.	1450	30.8	27.96	35.22	36.55	28.73	50.17	42.5	38.34
