peakN	Chr	Start	End	Strand	Length	Naive_P14_Day30_H3K27me3_Rep1_S5	Naive_P14_Day30_H3K27me3_Rep2_S6	Naive_P14_Day30_H3K27me3_Rep3_S3	Naive_P14_Day30_H3K27me3_Rep4_S4	Naive_P14_Day32_H3K27me3_Rep1_S9	Naive_P14_Day32_H3K27me3_Rep2_S10	Naive_P14_Day32_H3K27me3_Rep3_S11	Naive_P14_Day32_H3K27me3_Rep4_S12
peak1	chr1	3151664	3159110	.	7447	45.27	50.69	56.86	43.39	62.03	61.34	67.55	58.72
peak2	chr1	3667258	3675412	.	8155	129.6	131.8	143.98	144.37	169.91	156.64	137.21	173.08
peak5	chr1	4427523	4436689	.	9167	58.58	66.74	75.2	92.76	80.91	82.16	100.27	96.84
peak6	chr1	4444445	4469915	.	25471	310.68	325.27	304.48	324.65	320.94	359.3	345.15	297.74
peak7	chr1	4481138	4483713	.	2576	163.33	160.52	143.07	146.62	226.55	210.32	196.32	223.56
peak8	chr1	4486933	4517816	.	30884	2698.44	2640.99	2582.55	2649.58	4009.49	4146.16	3627.72	3992.17
peak9	chr1	4528111	4552551	.	24441	336.42	316.82	292.55	359.06	339.82	345.06	365.2	357.49
peak10	chr1	4567214	4580401	.	13188	574.31	542.39	552.09	545.33	612.21	630.96	610.07	630.51
peak11	chr1	4581432	4589344	.	7913	63.91	65.9	69.7	74.06	57.54	72.3	68.61	57.69
peak12	chr1	4617062	4622552	.	5491	16.87	20.28	19.26	23.19	22.47	20.81	19	25.76
peak13	chr1	4632292	4719363	.	87072	639.1	662.36	677.73	657.53	612.21	636.44	647.02	617.11
peak14	chr1	4724378	4763419	.	39042	308.01	291.47	308.14	293.98	270.6	306.72	293.43	264.77
peak15	chr1	4787295	4806838	.	19544	1090.92	1132.1	1151.87	1119.82	1247.8	1257.54	1185.32	1246.59
peak16	chr1	4907474	4975379	.	67906	577.86	656.45	586.94	603.67	562.77	518.13	615.35	550.15
peak17	chr1	4978267	4983514	.	5248	30.18	34.64	29.35	30.67	22.47	32.86	33.78	37.09
peak18	chr1	4992926	4996676	.	3751	30.18	23.66	26.6	26.93	25.17	27.39	31.66	42.24
peak19	chr1	5010315	5031919	.	21605	1169.92	1156.6	1127.11	1163.96	1577.73	1524.82	1457.63	1455.73
peak20	chr1	5047735	5083178	.	35444	932.03	931.87	831.81	888.68	1002.37	940.97	900.33	941.64
peak21	chr1	5173474	5187521	.	14048	94.98	103.92	105.47	109.96	103.38	95.3	121.38	100.96
peak22	chr1	5250500	5256291	.	5792	47.05	41.4	44.94	44.88	44.95	42.72	39.05	48.42
peak24	chr1	5677575	5681778	.	4204	53.26	49	50.44	41.14	45.85	48.2	51.72	49.45
peak25	chr1	5915036	5919770	.	4735	58.58	59.98	47.69	56.85	60.23	58.06	58.05	50.48
peak26	chr1	6009475	6012247	.	2773	31.07	37.17	35.77	34.41	41.35	37.24	35.89	38.12
peak27	chr1	6125683	6130853	.	5171	28.4	21.97	13.76	21.69	26.07	25.19	25.33	21.63
peak28	chr1	6134910	6138180	.	3271	30.18	40.55	27.51	29.17	20.68	27.39	21.11	16.48
peak30	chr1	6176839	6196275	.	19437	425.18	435.94	421.86	424.14	373.98	358.2	376.81	412.09
peak31	chr1	6199989	6205892	.	5904	23.97	11.83	14.67	14.21	20.68	25.19	23.22	25.76
peak32	chr1	6279627	6336958	.	57332	1202.76	1231.79	1203.23	1192.38	1121.04	1110.76	1082.93	1138.41
peak33	chr1	6341514	6344892	.	3379	54.15	52.38	52.27	54.61	53.94	53.68	33.78	40.18
peak34	chr1	6346784	6373286	.	26503	1070.5	1068.73	1025.31	1050.26	1192.06	1191.82	1133.6	1168.29
peak35	chr1	6378486	6406564	.	28079	2691.34	2567.49	2589.88	2679.5	3455.71	3397.99	3131.64	3288.52
peak36	chr1	6419816	6423219	.	3404	44.38	38.86	44.94	42.64	41.35	49.29	45.39	29.88
peak37	chr1	6437599	6478175	.	40577	698.58	653.91	685.07	755.53	801.9	830.33	756.79	837.58
peak38	chr1	6479821	6564501	.	84681	1886.25	1903.44	1926.82	1909.01	2133.3	2053.91	2046.6	2061.5
peak39	chr1	6569731	6574825	.	5095	22.19	14.36	25.68	24.69	18.88	27.39	38	23.7
peak40	chr1	6576719	6629157	.	52439	265.41	253.45	221.94	223.67	248.12	253.04	282.87	259.62
peak41	chr1	6634009	6641961	.	7953	27.52	16.05	19.26	26.93	22.47	15.34	20.05	24.73
peak42	chr1	6645605	6649942	.	4338	16.87	21.97	13.76	22.44	27.87	23	28.5	23.7
peak43	chr1	6652540	6665264	.	12725	36.39	58.29	48.61	38.9	44.95	50.39	54.89	52.54
