peakN	Chr	Start	End	Strand	Length	Naive_P14_Day30_H3K9me3_Rep1_S1	Naive_P14_Day30_H3K9me3_Rep2_S2	Naive_P14_Day30_H3K9me3_Rep3_S1	Naive_P14_Day30_H3K9me3_Rep4_S2	Naive_P14_Day32_H3K9me3_Rep1_S5	Naive_P14_Day32_H3K9me3_Rep2_S6	Naive_P14_Day32_H3K9me3_Rep3_S7	Naive_P14_Day32_H3K9me3_Rep4_S8	Arm_P14_Day30_H3K9me3_Rep1_S3	Arm_P14_Day30_H3K9me3_Rep2_S4	Arm_P14_Day30_H3K9me3_Rep3_S1	Arm_P14_Day30_H3K9me3_Rep4_S2	Cl13_P14_Day32_H3K9me3_Rep1_S5	Cl13_P14_Day32_H3K9me3_Rep2_S6	Cl13_P14_Day32_H3K9me3_Rep3_S7	Cl13_P14_Day32_H3K9me3_Rep4_S8
peak1	chr1	2999964	3666894	.	666931	12111.23	11766.75	11825.37	11993.13	11703.67	12256.58	12289	11994.33	5245.68	4950.13	5459.38	5316.7	3794.15	3885.75	4483.57	3802.95
peak2	chr1	3674205	4256399	.	582195	10128.99	9987.36	9765.56	10175.86	10068.81	10172.81	10359.11	10165.17	4425.92	4307.4	4562.54	4474.74	3173.68	3367.8	3628.2	3273.72
peak3	chr1	4260325	4325091	.	64767	702.03	705.88	686.06	693.87	659.55	675.04	646.19	655.51	223.01	206.26	239.81	211.93	135.87	137.68	204.34	167.36
peak4	chr1	4334472	4346301	.	11830	103.34	99.7	106.05	95.73	79.62	94.56	100.02	99.61	57.59	50	67.29	56.44	52.08	36.06	64.15	61.06
peak5	chr1	4367756	4389398	.	21643	169.1	167.35	143.58	171.14	161.95	154.97	139.15	165.48	77.2	68.75	83.2	78.32	66.8	53.54	70.09	76.9
peak6	chr1	4395231	4404511	.	9281	109.32	92.57	119.92	97.43	97.71	85.8	107.84	110.05	45.34	54.17	44.05	40.31	46.42	49.17	49.9	36.19
peak7	chr1	4434027	4448660	.	14634	156.29	173.58	179.47	149.11	160.14	165.48	140.02	163.07	149.49	127.09	148.05	125.55	115.49	108.18	100.98	109.69
peak8	chr1	4483897	4486875	.	2979	32.45	41.84	44.87	41.51	43.43	34.15	45.22	45.79	42.89	36.46	29.36	39.16	39.63	41.52	45.14	47.49
peak9	chr1	4556974	4568283	.	11310	126.4	119.28	124.81	133.86	144.76	119.07	133.94	123.71	133.56	156.25	135.81	135.91	152.85	165	118.8	145.88
peak10	chr1	4604803	4607669	.	2867	15.37	16.91	17.95	11.86	19.9	15.76	16.52	14.46	8.58	10.42	11.01	6.91	9.06	13.11	15.44	20.35
peak11	chr1	4633061	4637200	.	4140	25.62	24.92	15.5	20.33	28.95	15.76	20.87	28.92	9.8	18.75	20.8	16.13	12.45	9.83	23.76	14.7
peak12	chr1	4661270	4666171	.	4902	40.14	45.4	35.08	52.53	37.09	36.77	26.09	41.77	7.35	11.46	12.24	9.21	11.32	8.74	16.63	11.31
peak13	chr1	4677054	4687359	.	10306	80.28	90.79	63.63	85.57	81.43	72.67	73.06	69.09	28.18	19.79	25.69	18.43	26.04	31.69	14.26	12.44
peak14	chr1	4709140	4719269	.	10130	136.65	107.71	110.13	126.23	113.09	119.07	102.63	109.25	52.69	51.04	56.28	70.26	53.22	38.25	54.65	53.15
peak15	chr1	4730831	4735291	.	4461	49.53	55.19	50.58	63.54	46.14	44.65	48.7	46.59	24.51	11.46	22.02	19.58	11.32	15.3	26.14	20.35
peak16	chr1	4785614	4790240	.	4627	28.18	34.72	35.89	27.11	32.57	34.15	27.83	34.54	40.44	48.96	39.15	43.77	75.86	56.82	55.84	65.59
peak17	chr1	4918809	4923497	.	4689	68.32	74.77	66.08	89.8	76	65.66	73.06	71.5	57.59	67.71	59.95	67.96	74.73	77.58	62.96	62.2
peak18	chr1	4946435	4954799	.	8365	80.28	83.67	88.92	90.65	89.57	84.05	86.1	81.94	68.62	59.38	50.16	70.26	72.46	50.27	60.59	73.5
peak19	chr1	4979295	4992630	.	13336	160.56	162.9	164.79	171.14	152.9	178.61	156.55	180.75	75.97	96.88	90.54	80.63	72.46	74.31	78.41	79.16
peak20	chr1	5034808	5040951	.	6144	79.43	85.45	94.63	94.89	109.47	98.94	81.75	73.1	88.22	91.67	106.45	104.81	116.62	90.7	87.91	93.86
peak21	chr1	5047705	5049862	.	2158	18.79	20.47	17.95	11.86	11.76	12.26	13.05	8.84	4.9	2.08	3.67	10.37	9.06	9.83	8.32	5.65
peak22	chr1	5057206	5062327	.	5122	51.24	53.41	44.05	41.51	47.05	48.15	51.31	39.36	42.89	42.71	35.48	42.62	38.5	30.6	35.64	44.1
